 ,Area,Perim.,Circ.,AR,Round,Solidity
272,344,69.355,0.899,1.105,0.905,0.942
273,190,51.698,0.893,1.230,0.813,0.922
274,405,77.355,0.851,1.347,0.742,0.941
275,168,49.355,0.867,1.222,0.818,0.901
276,345,68.527,0.923,1.364,0.733,0.954
277,479,81.497,0.906,1.216,0.823,0.946
278,328,69.113,0.863,1.347,0.742,0.937
279,441,78.426,0.901,1.312,0.762,0.949
280,347,69.598,0.900,1.350,0.741,0.944
281,247,68.184,0.668,2.056,0.486,0.858
282,321,65.598,0.937,1.298,0.771,0.951
283,970,141.882,0.606,2.061,0.485,0.853
284,315,69.355,0.823,1.585,0.631,0.912
285,203,55.456,0.829,1.395,0.717,0.908
286,188,61.941,0.616,1.801,0.555,0.803
287,256,60.870,0.868,1.598,0.626,0.948
288,327,78.083,0.674,1.525,0.656,0.864
289,190,52.870,0.854,1.440,0.695,0.916
290,584,90.669,0.893,1.101,0.908,0.947
291,210,56.527,0.826,1.624,0.616,0.903
292,196,54.426,0.831,1.284,0.779,0.871
293,304,71.841,0.740,1.250,0.800,0.861
294,177,57.941,0.663,1.793,0.558,0.816
295,163,49.698,0.829,1.276,0.784,0.881
296,331,65.941,0.957,1.063,0.941,0.957
297,252,70.083,0.645,1.817,0.550,0.846
298,659,97.255,0.876,1.289,0.776,0.950
299,234,62.770,0.746,1.492,0.670,0.867
300,217,59.698,0.765,1.105,0.905,0.880
301,228,59.012,0.823,1.575,0.635,0.914
302,490,89.154,0.775,1.690,0.592,0.924
303,159,54.870,0.664,1.727,0.579,0.844
304,161,48.870,0.847,1.152,0.868,0.890
305,497,87.255,0.820,1.582,0.632,0.937
306,366,75.841,0.800,1.202,0.832,0.882
307,190,53.213,0.843,1.325,0.755,0.916
308,159,53.355,0.702,2.245,0.445,0.830
309,198,57.456,0.754,1.781,0.561,0.908
310,332,73.012,0.783,1.529,0.654,0.900
311,666,98.569,0.861,1.136,0.880,0.934
312,661,101.154,0.812,1.228,0.815,0.922
313,204,53.456,0.897,1.186,0.843,0.940
314,335,68.669,0.893,1.080,0.926,0.940
315,154,54.527,0.651,2.264,0.442,0.846
316,201,59.941,0.703,1.442,0.694,0.859
317,236,57.113,0.909,1.093,0.915,0.935
318,204,54.042,0.878,1.250,0.800,0.947
319,475,82.669,0.873,1.186,0.843,0.944
320,530,84.669,0.929,1.089,0.918,0.955
321,371,73.941,0.853,1.466,0.682,0.939
322,225,58.870,0.816,1.662,0.602,0.941
323,271,61.941,0.888,1.100,0.909,0.911
324,292,68.770,0.776,1.683,0.594,0.878
325,166,50.627,0.814,1.504,0.665,0.920
326,162,47.113,0.917,1.405,0.711,0.923
327,361,72.184,0.871,1.322,0.756,0.940
328,361,82.669,0.664,1.842,0.543,0.850
329,533,90.669,0.815,1.385,0.722,0.941
330,353,73.598,0.819,1.503,0.665,0.923
331,156,46.627,0.902,1.369,0.730,0.934
332,308,75.841,0.673,1.840,0.543,0.869
333,385,74.426,0.873,1.267,0.789,0.930
334,323,70.669,0.813,1.286,0.777,0.902
335,474,97.497,0.627,1.212,0.825,0.839
336,266,63.941,0.818,1.076,0.929,0.914
337,200,57.456,0.761,1.391,0.719,0.887
338,592,94.569,0.832,1.397,0.716,0.932
339,237,59.698,0.836,1.604,0.623,0.933
340,154,46.284,0.903,1.336,0.749,0.917
341,469,83.598,0.843,1.282,0.780,0.939
342,451,81.012,0.864,1.506,0.664,0.937
343,492,93.355,0.709,1.910,0.524,0.912
344,234,62.770,0.746,1.348,0.742,0.886
345,217,56.770,0.846,1.321,0.757,0.908
346,286,72.770,0.679,1.742,0.574,0.871
347,201,61.941,0.658,1.253,0.798,0.848
348,432,78.426,0.883,1.331,0.751,0.948
349,514,85.255,0.889,1.176,0.850,0.934
350,163,52.284,0.749,2.112,0.473,0.898
351,246,62.770,0.785,1.808,0.553,0.899
352,497,91.740,0.742,1.579,0.633,0.893
353,204,53.213,0.905,1.237,0.809,0.958
354,288,64.284,0.876,1.239,0.807,0.931
355,295,66.083,0.849,1.264,0.791,0.912
356,567,88.083,0.918,1.159,0.863,0.955
357,533,89.497,0.836,1.445,0.692,0.938
358,350,78.083,0.721,1.430,0.699,0.853
359,415,76.184,0.899,1.308,0.765,0.946
360,579,91.497,0.869,1.138,0.878,0.941
361,380,72.770,0.902,1.311,0.763,0.945
362,403,77.740,0.838,1.092,0.916,0.917
363,474,89.397,0.745,1.275,0.784,0.870
364,439,89.740,0.685,1.457,0.686,0.873
365,268,67.698,0.735,1.391,0.719,0.899
366,447,95.983,0.610,1.678,0.596,0.805
367,192,60.284,0.664,1.830,0.547,0.875
368,336,71.012,0.837,1.457,0.686,0.922
369,155,49.213,0.804,1.603,0.624,0.912
370,515,88.083,0.834,1.215,0.823,0.921
371,273,64.870,0.815,1.139,0.878,0.910
