ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Name,Metadata_Series,Metadata_Time,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
13,2,file:///S:/_Sample_images_for_development/Rosalie%20Heilig%20-%20Time-lapse%20DIC/cleaned-2/cleaned_012.tif,0,cleaned,0,012,2693,511.0,105.0,1.0,1.6245453385552016,0.9194517319144512,1.0,0.6514271891630382,0.5283524209591968,98.09738088578958,105.07616285342742,34.88552708502482,12.75008300952387,11.180339887498949,38.0,38.57217366262516,-88.6142049297647,253.08199999999965,0.9546260191421483,496.71407352395096,105.35573709617528,0,2,12.655495556082554,12.655495556082554,2.0,12.655495556082554,17,2,1.0,12.0,2,1.9731357121784185,12.500732107814784
13,3,file:///S:/_Sample_images_for_development/Rosalie%20Heilig%20-%20Time-lapse%20DIC/cleaned-2/cleaned_012.tif,0,cleaned,0,012,7444,288.0,115.0,1.0,1.0559539217680534,0.4216108872548803,1.0,0.6564373897707231,0.5688588560702311,104.6449039896836,117.79643458101778,38.27531841800928,13.143184337003134,11.180339887498949,98.90151381026614,94.88957664213778,-78.0904268871606,405.5139999999987,0.8707451163878817,294.3124664159054,117.97232670607201,0,3,21.59638999391007,2.958492175863553,nan,94.11032244892178,3,13,0.22947950269356981,12.0,3,2.4749050411099915,-1.6209629829623537
13,4,file:///S:/_Sample_images_for_development/Rosalie%20Heilig%20-%20Time-lapse%20DIC/cleaned-2/cleaned_012.tif,0,cleaned,0,012,10554,108.0,148.0,1.0,1.2679764067419526,0.8342941657030264,1.0,0.5871161548731643,0.531888161750495,161.3690929983958,174.9085475327035,41.0,14.948032427551258,13.416407864998739,92.02092902054699,88.96593556919404,-14.833797545998584,499.3479999999984,0.8662535396232611,102.39179458025393,157.2765776009096,0,4,30.70339271367156,16.099388895958665,nan,160.1423910346177,5,13,0.19172557943782956,12.0,4,-4.845572751699876,15.352874243323328
13,5,file:///S:/_Sample_images_for_development/Rosalie%20Heilig%20-%20Time-lapse%20DIC/cleaned-2/cleaned_012.tif,0,cleaned,0,012,7762,370.0,166.0,1.0,1.979300976683064,0.9450174160076086,1.0,0.4937344952611157,0.4083721993950098,187.64063894439886,199.3313823761828,31.0,10.683753637897391,9.219544457292887,67.90997501017324,61.36224262041787,-77.12958041311767,488.72399999999845,0.8169666350910432,374.5193249162587,159.78922958000516,0,5,68.51417059088189,13.353899578093575,nan,178.0731121708045,6,13,0.3847530362987329,12.0,5,-9.647269942279252,-9.233461788657763
13,6,file:///S:/_Sample_images_for_development/Rosalie%20Heilig%20-%20Time-lapse%20DIC/cleaned-2/cleaned_012.tif,0,cleaned,0,012,8720,221.0,256.0,1.0,1.0490947009523681,0.6734002667999265,1.0,0.7414965986394558,0.8479818326200912,122.53154893441692,125.59060474414477,45.617978911828175,16.766333949471097,15.0,90.89425012552968,90.58488832726081,67.61589427048196,359.47599999999903,0.9778525371460611,221.5540137614679,257.15022935779814,0,6,20.24444579607941,7.60443830026921,nan,107.70418564591765,7,13,0.1879634080576398,12.0,6,0.23066574384674254,7.600939098375733
13,7,file:///S:/_Sample_images_for_development/Rosalie%20Heilig%20-%20Time-lapse%20DIC/cleaned-2/cleaned_012.tif,0,cleaned,0,012,2665,511.0,314.0,1.0,2.1036042668671158,0.9566641496241268,1.0,0.6936491410723582,0.45538524271536307,114.54308842145798,112.21853679316978,32.0624390837628,11.055121853733661,10.0,33.0,33.35421272725633,-86.06049031193336,271.1839999999997,0.8964009418096199,498.1872420262664,303.1264540337711,0,7,107.27695525398097,96.50294324658078,nan,203.80041953653813,10,13,0.5263824063656942,12.0,8,48.25004569731192,-83.57482363403528
13,8,file:///S:/_Sample_images_for_development/Rosalie%20Heilig%20-%20Time-lapse%20DIC/cleaned-2/cleaned_012.tif,0,cleaned,0,012,3438,103.0,340.0,1.0,1.051301955193409,0.6203218881399162,1.0,0.7039312039312039,0.7652586392173248,75.40345693055909,80.52949770115296,27.294688127912362,10.004201973103505,8.94427190999916,61.240598943055005,59.14250112646287,-46.61696685381599,237.60399999999953,0.9342391304347825,103.66346713205353,339.5340314136126,0,8,12.296462203884388,18.46090886777743,13.0,132.22797572009486,9,13,0.0929944070981923,12.0,7,-6.205829078309975,17.386570727868843
13,9,file:///S:/_Sample_images_for_development/Rosalie%20Heilig%20-%20Time-lapse%20DIC/cleaned-2/cleaned_012.tif,0,cleaned,0,012,5771,454.0,385.0,1.0,1.37151760064556,0.8854592039206178,1.0,0.529061239457279,0.624698959758204,128.53931415358164,125.87692401707312,29.0,11.078005754060996,10.04987562112089,62.620181480995974,59.73441940602601,-39.13621153542699,340.7179999999989,0.9188027384174494,453.44377057702303,389.85201871426096,0,9,12.301739427038314,4.714152320304385,nan,112.01162861026171,10,13,0.1098255563254199,12.0,8,3.506574248068546,3.150741046454584
13,10,file:///S:/_Sample_images_for_development/Rosalie%20Heilig%20-%20Time-lapse%20DIC/cleaned-2/cleaned_012.tif,0,cleaned,0,012,2921,226.0,492.0,1.0,1.0534692200479892,0.6125146565964722,1.0,0.7748010610079575,0.7740077669894367,69.37644966759052,74.51845409024533,27.294688127912362,10.966797136158531,10.04987562112089,56.43724741629062,54.83925503538387,-37.58817521816659,217.76999999999992,0.9399839098954145,228.87915097569325,484.3207805546046,0,10,7.283893305343591,4.639217096488714,nan,13.442599594073675,16,4,0.5418515410185081,12.0,9,-4.4150961164161515,1.4245215165662444
14,1,file:///S:/_Sample_images_for_development/Rosalie%20Heilig%20-%20Time-lapse%20DIC/cleaned-2/cleaned_013.tif,0,cleaned,0,013,6521,87.0,0.0,1.0,1.5138997438016741,0.9130914856611182,1.0,0.7889897156684815,0.506243231554619,146.5649395003194,147.09180806557515,52.773099207835045,18.357889609691846,16.0,56.0,59.76255074378631,0.34927620711246404,402.3299999999988,0.9173524653583739,99.59990798957215,24.15442416807238,0,1,50.061107051762505,7.6631340963240335,nan,216.67797850442685,2,14,0.23103920110986143,13.0,1,-6.5944308359453885,3.9034735977301764
14,2,file:///S:/_Sample_images_for_development/Rosalie%20Heilig%20-%20Time-lapse%20DIC/cleaned-2/cleaned_013.tif,0,cleaned,0,013,2282,367.0,85.0,1.0,1.0604340496510574,0.5356074201906023,1.0,0.6269230769230769,0.7262790923071935,59.92802935239671,66.40783086353596,23.345235059857504,8.315519121782907,7.0710678118654755,49.04525514461734,50.607249455917184,-58.58093928388724,198.70599999999962,0.9062748212867355,368.24233128834356,85.95880806310254,0,2,142.28215758568743,74.09677314410125,nan,252.16988531490574,6,14,0.5642313609652784,13.0,5,-6.276993627915147,-73.83042151690262
14,3,file:///S:/_Sample_images_for_development/Rosalie%20Heilig%20-%20Time-lapse%20DIC/cleaned-2/cleaned_013.tif,0,cleaned,0,013,7180,297.0,120.0,1.0,1.0297045507668365,0.30743581584055885,1.0,0.7110318875024757,0.7640234119740468,99.24871695877775,104.67568963231147,41.72529209005013,14.4640570643421,13.0,92.20052718322009,94.44198447996686,-26.317841752423128,343.64799999999894,0.9461685445081374,299.68356545961,116.591643454039,0,3,21.645689867856227,5.545718274464436,nan,99.65604072338621,3,14,0.21720399195807755,13.0,3,5.371099043704589,-1.380683252033009
14,4,file:///S:/_Sample_images_for_development/Rosalie%20Heilig%20-%20Time-lapse%20DIC/cleaned-2/cleaned_013.tif,0,cleaned,0,013,9006,115.0,149.0,1.0,1.2152011799775748,0.8269572296120189,1.0,0.7156706929434202,0.6216200583123087,145.26431689674698,156.97770542341354,38.07886552931954,14.501580702561029,13.0,87.0,81.6770166177891,-15.051538145352254,426.68599999999867,0.893452380952381,121.5295358649789,151.63946258050188,0,4,15.610834014469942,19.95069440481641,nan,180.0930854394341,5,14,0.08668202877627923,13.0,4,19.137741284724967,-5.63711502040772
14,5,file:///S:/_Sample_images_for_development/Rosalie%20Heilig%20-%20Time-lapse%20DIC/cleaned-2/cleaned_013.tif,0,cleaned,0,013,9146,382.0,159.0,1.0,1.435189454780572,0.9095572846876708,1.0,0.6725,0.6203085167644588,168.52110544523077,172.7917822120022,36.345563690772494,13.978414859645921,13.0,73.58516781985975,70.03375961598599,-78.64314319516755,430.443999999999,0.9447859098187076,376.24065165099495,181.04439099059698,0,5,47.45772279315794,21.32474741510505,nan,199.39785958590954,6,14,0.23800517664388982,13.0,5,1.7213267347362375,21.255161410591825
14,6,file:///S:/_Sample_images_for_development/Rosalie%20Heilig%20-%20Time-lapse%20DIC/cleaned-2/cleaned_013.tif,0,cleaned,0,013,10919,219.0,241.0,1.0,1.2526271992606184,0.8349316419551026,1.0,0.5680765829041153,0.6276560877902727,163.20463517414763,166.0903368652132,43.73785545725808,15.649895188592266,14.035668847618199,92.30789756168411,89.82026862129338,54.078361597638114,467.5579999999984,0.9038159092790333,216.8543822694386,242.30625515157067,0,6,21.67722021678195,15.570167192295019,nan,123.27435283821266,7,14,0.1758453377989459,13.0,6,-4.699631492029312,-14.843974206227472
